Ідентифікатор тендера;Кіль-ть лотів
UA-2016-04-29-000235-b;1
UA-2016-04-29-000246-b;4
UA-2016-04-29-000251-b;1
UA-2016-04-29-000256-b;1
UA-2016-04-29-000267-b;6
UA-2016-04-29-000271-b;1
UA-2016-04-29-000281-b;1
UA-2016-04-29-000294-b;1
UA-2016-04-29-000296-b;1
UA-2016-04-29-000297-b;1
UA-2016-04-29-000298-b;1
UA-2016-04-29-000306-b;2
UA-2016-04-29-000307-b;1
UA-2016-04-29-000308-b;2
UA-2016-04-29-000309-b;2
UA-2016-04-29-000326-b;1
UA-2016-04-30-000007-b;2
UA-2016-04-30-000008-b;1
UA-2016-05-01-000001-a;1
UA-2016-05-01-000001-b;4
UA-2016-05-01-000002-b;1
UA-2016-05-01-000003-b;1
UA-2016-05-03-000002-a;4
UA-2016-05-04-000012-b;2
UA-2016-05-04-000020-c;1
UA-2016-05-04-000044-a;4
UA-2016-05-04-000047-c;1
UA-2016-05-04-000048-b;2
UA-2016-05-04-000050-c;1
UA-2016-05-04-000055-c;1
UA-2016-05-04-000075-b;2
UA-2016-05-04-000083-b;2
UA-2016-05-04-000113-a;1
UA-2016-05-04-000152-b;1
UA-2016-05-04-000249-b;1
UA-2016-05-04-000255-b;1
UA-2016-05-04-000266-b;1
UA-2016-05-04-000268-b;1
UA-2016-05-04-000269-b;2
UA-2016-05-04-000271-b;1
UA-2016-05-04-000276-b;1
UA-2016-05-04-000277-b;3
UA-2016-05-05-000006-c;1
UA-2016-05-05-000016-b;1
UA-2016-05-05-000018-b;1
UA-2016-05-05-000028-b;1
UA-2016-05-05-000044-c;1
UA-2016-05-05-000059-c;1
UA-2016-05-05-000060-b;1
UA-2016-05-05-000084-c;1
UA-2016-05-05-000091-a;1
UA-2016-05-05-000092-b;1
UA-2016-05-05-000094-a;1
UA-2016-05-05-000096-a;1
UA-2016-05-05-000098-a;1
UA-2016-05-05-000104-a;1
UA-2016-05-05-000108-c;1
UA-2016-05-05-000110-c;1
UA-2016-05-05-000114-a;1
UA-2016-05-05-000116-c;1
UA-2016-05-05-000122-a;1
UA-2016-05-05-000126-b;1
UA-2016-05-05-000141-b;1
UA-2016-05-05-000158-b;1
UA-2016-05-05-000164-b;1
UA-2016-05-05-000167-b;1
UA-2016-05-05-000174-b;1
UA-2016-05-05-000181-b;1
UA-2016-05-05-000199-a;1
UA-2016-05-05-000209-a;1
UA-2016-05-05-000292-b;1
UA-2016-05-05-000339-b;1
UA-2016-05-05-000350-b;1
UA-2016-05-05-000353-b;1
UA-2016-05-05-000354-b;1
UA-2016-05-05-000355-b;1
UA-2016-05-05-000356-b;1
UA-2016-05-05-000357-b;1
